date,word,niche_count,mainstream_count
2026-06-30,ragebait,0,0
2026-06-30,rapscallion,0,0
2026-06-30,rich in life,0,0
2026-06-30,rizz,0,0
2026-06-30,salty,0,0
2026-06-30,serving,0,0
2026-06-30,shackbaggerly,0,0
2026-06-30,side-eye,0,0
2026-06-30,sigma,0,0
2026-06-30,situationship,0,0
2026-06-30,skibidi,0,0
2026-06-30,skilamalink,0,0
2026-06-30,slang,0,0
2026-06-30,sus,0,0
2026-06-30,taradiddle,0,0
2026-06-30,the ick,0,0
2026-06-30,touch grass,0,0
2026-06-30,uglyography,0,0
2026-06-30,unc,0,0
2026-06-30,wagwan,0,0
2026-06-30,wisenheimer,0,0
2026-06-30,zang,0,0
2026-06-30,zounds,0,0
2026-07-01,404 coded,0,0
2026-07-01,6-7,0,0
2026-07-01,absquatulate,0,0
2026-07-01,afternoonified,0,0
2026-07-01,algo-speak,0,0
2026-07-01,ate,0,0
2026-07-01,aura,0,0
2026-07-01,aura farming,0,0
2026-07-01,based,0,0
2026-07-01,bed rotting,0,0
2026-07-01,bee's knees,0,0
2026-07-01,beige flag,0,0
2026-07-01,blotto,0,0
2026-07-01,bop,0,0
2026-07-01,brainrot,0,0
2026-07-01,cap,0,0
2026-07-01,cattywampus,0,0
2026-07-01,caught in 4k,0,0
2026-07-01,choppelganger,0,0
2026-07-01,cooked,0,0
2026-07-01,crash out,0,0
2026-07-01,dandy,0,0
2026-07-01,dead soldier,0,0
2026-07-01,delulu,0,0
2026-07-01,drip,0,0
2026-07-01,dropping lore,0,0
2026-07-01,duck soup,0,0
2026-07-01,ends,0,0
2026-07-01,fanum tax,0,0
2026-07-01,flapper,0,0
2026-07-01,flummadiddle,0,0
2026-07-01,gassed,0,0
2026-07-01,ghosting,0,0
2026-07-01,giggle water,0,0
2026-07-01,gigglemug,0,0
2026-07-01,glad rags,0,0
2026-07-01,glazing,0,0
2026-07-01,got the morbs,0,0
2026-07-01,groovy,0,0
2026-07-01,gyatt,0,0
2026-07-01,hard pass,0,0
2026-07-01,hawkshaw,0,0
2026-07-01,hoosegow,0,0
2026-07-01,htn,0,0
2026-07-01,humbuggery,0,0
2026-07-01,huzz,0,0
2026-07-01,innit,0,0
2026-07-01,knackered,0,0
